Fecha;VV;DV;TC;TD;HR;QV;PS;CD;CB;TS;TCU;CT;CP;agualiq;graupel;agua+graup;cape;maxlift;minlift;plfc;plcl;wmin;dphbl
2014-07-14 00:00:00;10;30;32;22;55.5307645752;26.9836242552;100584.768684;0;0;0;0;0;0;0.000135794;4.25236e-06;0.000140047;5.23953962326;4.28940677643;-2.42059278488;-99.99;626.287617188;-2.87074;134.548
2014-07-14 01:00:00;10;30;31;22;58.7817746111;26.9836242552;100584.768684;0;0;0;0;0;0;0.0;7.33908e-09;7.33908e-09;5.43198251724;5.36586284637;-2.97389411926;-99.99;623.1653125;-2.19385;15.3651
2014-07-14 02:00:00;8;30;30;22;62.249006006;26.9556710077;100686.335263;0;0;0;0;0;0;9.45558e-05;9.00401e-12;9.45558e-05;5.76766252518;5.02330207825;-3.39765453339;-99.99;616.18875;-2.56358;72.9584
2014-07-14 03:00:00;4;50;30;22;62.249006006;26.9277756158;100787.901842;0;0;0;0;0;0;0.0;1.15113e-11;1.15113e-11;7.10202598572;5.45118618011;-2.96310329437;-99.99;625.771796875;-2.48255;-107.289
2014-07-14 04:00:00;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;0.00105884;2.26418e-11;0.00105884;7.05982446671;5.28289222717;-2.48826694489;-99.99;627.109296875;-2.61619;144.956
2014-07-14 05:00:00;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;0.000152814;1.69448e-11;0.000152814;6.53421211243;6.01679372787;-2.25131845474;-99.99;624.872304687;-2.18506;269.751
2014-07-14 06:00:00;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;0.000507163;3.15869e-11;0.000507163;7.09123277664;5.81183195114;-2.88821792603;-99.99;618.346367188;-2.02374;146.643
2014-07-14 07:00:00;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;0.000554953;1.17469e-11;0.000554953;6.29966402054;6.38059663773;-2.37841844559;-99.99;620.33765625;-2.06883;83.4778
2014-07-14 08:00:00;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;0.000359841;2.03583e-11;0.000359841;8.10815429688;6.33534860611;-2.77198457718;-99.99;620.738671875;-2.2399;72.6719
2014-07-14 09:00:00;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;0.000504179;3.62714e-08;0.000504216;8.0359582901;5.83993530273;-2.43572711945;-99.99;629.85140625;-1.79142;98.6204
2014-07-14 10:00:00;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;0.000612498;1.3342e-11;0.000612498;6.21190690994;5.98965406418;-3.09593296051;-99.99;628.66734375;-2.09195;71.7384
2014-07-14 11:00:00;0;0;27;24;83.6617726168;30.4705307191;100889.468421;0;0;0;0;0;0;0.000316585;1.98399e-11;0.000316585;6.14522314072;5.76793575287;-2.41439819336;-99.99;619.88;-1.82434;112.365
2014-07-14 12:00:00;0;0;27;24;83.6617726168;30.4705307191;100889.468421;0;0;0;0;0;0;0.000565867;1.52954e-11;0.000565867;7.46666479111;4.88406133652;-1.88784980774;-99.99;579.13859375;-2.12259;-44.4827
2014-07-14 13:00:00;4;220;29;25;79.0392463553;32.3789888742;100991.035;0;0;0;0;0;0;0.000366948;4.97857e-12;0.000366948;6.39938926697;4.05611610413;-2.11950445175;-99.99;554.391484375;-1.80677;-223.205
2014-07-14 14:00:00;4;230;30;25;74.6054210746;32.345405853;101092.601579;0;0;0;0;0;0;0.00174673;2.51018e-13;0.00174673;5.7715473175;3.53301525116;-0.732315063477;-99.99;586.248828125;-1.79995;-485.266
2014-07-14 15:00:00;4;270;31;25;70.449944951;32.345405853;101092.601579;0;0;0;0;0;0;0.00703292;3.16224e-05;0.00706454;4.99357557297;3.18922257423;-0.822073698044;-99.99;595.519375;-1.6444;-786.066
2014-07-14 16:00:00;6;260;30;26;79.1760779341;34.4309684252;100991.035;0;0;0;0;0;1;0.00840945;0.0060131;0.0144226;5.79289245605;4.10830974579;-0.183066368103;-99.99;581.286328125;-1.31972;-799.646
2014-07-14 17:00:00;6;240;32;26;70.6309775182;34.4309684252;100991.035;0;0;0;0;0;0;0.0119545;0.011582;0.0235365;5.8092417717;3.87579870224;0.354158878326;-99.99;599.270625;-1.33295;-1131.4
2014-07-14 18:00:00;7;320;34;25;59.4686099612;32.4126417039;100889.468421;0;0;0;0;0;0;0.00869537;0.0657255;0.0744209;5.85765123367;4.68122720718;-0.556031703949;-99.99;598.747617188;-1.53015;-261.404
2014-07-14 19:00:00;5;150;34;25;59.4686099612;32.4463645599;100787.901842;0;0;0;0;0;0;0.0140595;0.0837535;0.097813;8.91221141815;4.20052528381;-0.121802330017;-99.99;591.857773437;-1.3139;-108.317
